study_num,model,version,mean,sem,n
2,gpt2xl,A,0.22807017543859648,0.056069817847611766,57
2,gpt2xl,B,0.15789473684210525,0.048727373672239595,57
2,gpt2xl,C,0.21052631578947367,0.05447885994808057,57
2,gpt2xl,D,0.22807017543859648,0.05606981784761177,57
2,llama3,A,0.3333333333333333,0.06299407883487118,57
2,llama3,B,0.45614035087719296,0.06655775300696491,57
2,llama3,C,0.21052631578947367,0.05447885994808057,57
2,llama3,D,0.2807017543859649,0.06004585739704729,57
2,mistral24b,A,0.6842105263157895,0.06211545730021919,57
2,mistral24b,B,0.7543859649122807,0.057521390564052664,57
2,mistral24b,C,0.7719298245614035,0.056069817847611766,57
2,mistral24b,D,0.7368421052631579,0.058843894144731304,57
2,mistral7b,A,0.45614035087719296,0.06655775300696491,57
2,mistral7b,B,0.40350877192982454,0.06555933012294897,57
2,mistral7b,C,0.38596491228070173,0.06505437269382161,57
2,mistral7b,D,0.40350877192982454,0.06555933012294897,57
2,pythia,A,0.5789473684210527,0.06597717584505354,57
2,pythia,B,0.5614035087719298,0.0663095566682855,57
2,pythia,C,0.5614035087719298,0.0663095566682855,57
2,pythia,D,0.5964912280701754,0.06555933012294902,57
