passage_id,version,model,surprisal
1,A,GPT2,1.5467934970344817
1,A,Mistral-7B,1.3849138532366072
1,A,pythia-12b-deduped,1.5795979765909058
1,A,LLaMa-3.1-8B,1.1718630492687225
1,A,Mistral-24B,1.0062517438616072
1,C,GPT2,1.5550623110362465
1,C,Mistral-7B,1.3166765485491072
1,C,pythia-12b-deduped,1.6023310241954667
1,C,LLaMa-3.1-8B,1.167753089751516
1,C,Mistral-24B,1.0838535853794642
1,B,GPT2,1.6881338953971865
1,B,Mistral-7B,1.4448503766741072
1,B,pythia-12b-deduped,1.7689018451741765
1,B,LLaMa-3.1-8B,1.327413722872734
1,B,Mistral-24B,1.3965628487723214
1,D,GPT2,1.8278422206640244
1,D,Mistral-7B,1.43133544921875
1,D,pythia-12b-deduped,1.8345656533326424
1,D,LLaMa-3.1-8B,1.3411119793142592
1,D,Mistral-24B,1.4335675920758928
2,A,GPT2,2.4235070177486966
2,A,Mistral-7B,1.7899693080357142
2,A,pythia-12b-deduped,2.3026349927697862
2,A,LLaMa-3.1-8B,1.9654936960765295
2,A,Mistral-24B,1.857177734375
2,C,GPT2,2.3671781548431943
2,C,Mistral-7B,1.77734375
2,C,pythia-12b-deduped,2.285746310438429
2,C,LLaMa-3.1-8B,2.077774452311652
2,C,Mistral-24B,1.8403669084821428
2,B,GPT2,2.767785047491392
2,B,Mistral-7B,2.44073486328125
2,B,pythia-12b-deduped,2.4186573177576065
2,B,LLaMa-3.1-8B,2.6684254556894302
2,B,Mistral-24B,2.6129150390625
2,D,GPT2,2.755117177963257
2,D,Mistral-7B,2.387044270833333
2,D,pythia-12b-deduped,2.5127039353052774
2,D,LLaMa-3.1-8B,2.704672783613205
2,D,Mistral-24B,2.74853515625
3,A,GPT2,2.088002886623144
3,A,Mistral-7B,1.86553955078125
3,A,pythia-12b-deduped,1.5616638497449458
3,A,LLaMa-3.1-8B,1.1684893388301134
3,A,Mistral-24B,1.4658889770507812
3,C,GPT2,2.07810371927917
3,C,Mistral-7B,1.84429931640625
3,C,pythia-12b-deduped,1.5962908756919203
3,C,LLaMa-3.1-8B,1.1905679609626532
3,C,Mistral-24B,1.3666229248046875
3,B,GPT2,2.8557635080069304
3,B,Mistral-7B,2.3196258544921875
3,B,pythia-12b-deduped,2.177358578890562
3,B,LLaMa-3.1-8B,2.005536518059671
3,B,Mistral-24B,1.724884033203125
3,D,GPT2,2.8226812286302447
3,D,Mistral-7B,2.4263153076171875
3,D,pythia-12b-deduped,2.0574611420743167
3,D,LLaMa-3.1-8B,2.05692220851779
3,D,Mistral-24B,1.8198471069335935
4,A,GPT2,2.173202323913574
4,A,Mistral-7B,2.199853515625
4,A,pythia-12b-deduped,2.002821359038353
4,A,LLaMa-3.1-8B,1.8041083931922912
4,A,Mistral-24B,1.667333984375
4,C,GPT2,2.1730953812599183
4,C,Mistral-7B,2.239501953125
4,C,pythia-12b-deduped,2.0234419822692877
4,C,LLaMa-3.1-8B,1.768355655670166
4,C,Mistral-24B,1.651708984375
4,B,GPT2,3.2143632888793947
4,B,Mistral-7B,2.643505859375
4,B,pythia-12b-deduped,2.8245684623718263
4,B,LLaMa-3.1-8B,2.0426281452178956
4,B,Mistral-24B,1.994970703125
4,D,GPT2,3.412866359949112
4,D,Mistral-7B,3.04755859375
4,D,pythia-12b-deduped,3.034868988394737
4,D,LLaMa-3.1-8B,2.3017982244491577
4,D,Mistral-24B,2.230419921875
5,A,GPT2,2.9691969871521
5,A,Mistral-7B,2.355810546875
5,A,pythia-12b-deduped,2.7920288026332853
5,A,LLaMa-3.1-8B,2.4364349275827406
5,A,Mistral-24B,2.10263671875
5,C,GPT2,2.9624772012233733
